SDS_CODE	VARIANT
AG2	nüme
AG3	nümm
AG4	nümm
AG5	nümm
AG6	nümm
AG7	nümm
AG8	nüme
AG9	nümm
AG10	nümm
AG11	nüme
AG12	nüme
AG13	nüme
AG14	nüme
AG15	nüme
AG16	nüme
AG17	nüme
AG18	nüme
AG19	nüme
AG20	nüme
AG21	nüme
AG22	nümm
AG23	nümm
AG24	nümm
AG25	nümm
AG26	nüme
AG27	nüme
AG28	nüme
AG29	nüme
AG30	nüme
AG31	nüme
AG32	nüme
AG33	nüme
AG34	nümm
AG35	nümm
AG36	nümm
AG37	nümm
AG38	nüme
AG39	nüme
AG40	nüme
AG41	nüme
AG42	nüme
AG43	nüme
AG44	nüme
AG45	nüme
AG46	nüme
AG47	nüme
AG48	nümm
AG49	nüme
AG50	nümm
AG51	nüme
AG52	nümm
AG53	nüme
AG54	nüme
AG55	nüme
AG56	nüme
AG57	nüme
AG58	nüme
AG59	nüme
AG60	nüme
AG61	nüme
AP1	nomme
AP2	nüme
AP3	nomme
AP4	nomme
AP5	nomme
AP6	nomme
AP7	nomme
AP8	nomme
AP9	nomme
AP10	nomme
AP12	nomme
BA1	nimme
BA2	nimme
BA3	nimmi
BA4	nimmi
BA5	nimmi
BA6	nimmi
BA7	nimmi
BA8	nimme
BA9	nüme
BA10	nimme
BA11	nümm
BA12	nümm
BA13	nimme
BA14	nimme
BA15	nimme
BA16	nümm
BA17	nümm
BA18	nümm
BA19	nüme
BA20	nüme
BA21	nümm
BA22	nüme
BA23	nimme
BA24	nimme
BA25	nüme
BA26	nümm
BE1	nimmi
BE2	nimmi
BE3	nimmi
BE4	nimmi
BE5	nümm
BE6	nümm
BE8	nüme
BE9	nüme
BE10	nümm
BE11	nüme
BE12	nümm
BE13	nimme
BE14	nimme
BE15	nüme
BE16	nimme
BE17	nüme
BE18	nümm
BE19	nüme
BE20	nüme
BE21	nüme
BE22	nümee
BE23	nümm
BE24	nüme
BE25	nümm
BE26	nüme
BE27	nimme
BE28	nimme
BE29	nimme
BE30	nimme
BE31	nüme
BE32	nümee
BE33	nüme
BE34	nüme
BE35	nümm
BE36	nüme
BE37	nüme
BE38	nümm
BE39	nümm
BE40	nüme
BE41	nüme
BE42	nümm
BE43	nüme
BE44	nimee
BE45	nimee
BE46	nimee
BE47	nüme
BE48	nüme
BE49	nimee
BE50	nimee
BE51	nümee
BE52	nimee
BE53	nüme
BE54	nimee
BE55	nümee
BE56	nümee
BE57	nümee
BE58	nütmee
BE59	nümee
BE60	nimee
BE61	nütmee
BE62	nümee
BE63	nitmee
BE64	nitmee
BE66	nimee
BE67	nümee
BE68	nitmee
BE69	nitmee
BE70	nitmee
BE71	nümee
BE72	nitmee
BE73	nimee
BE74	nümee
BE75	nütmee
BE76	nütmee
BE77	nümee
BE78	nümee
BE79	nüme
BE80	nüme
BE81	nimee
BE82	nümee
BE85	nimme
BE86	nimme
BE87	nimme
BE88	nimme
BE89	nitmee
BE90	nitmee
BE91	nitmee
BE92	nitmee
BE93	nitmee
BE94	nütmee
BE95	nitmee
BE96	nitmee
BE97	nütmee
BE98	nütmee
BE99	nütmee
BE100	nitmee
BE101	nitmee
BE102	nitmee
BE103	nitmee
BE104	nitmee
BE105	nütmee
BE106	nitmee
BE107	nitmee
BE108	nümee
BE109	nümee
BE110	nimee
BE111	nimee
BE112	nimee
FR1	nümee
FR2	nümee
FR3	nitmee
FR4	nütmee
FR5	nitmee
FR6	nitmee
FR7	nütmee
FR8	nütmee
FR9	nütmee
FR10	nütmee
FR11	nütmee
FR12	nütmee
FR13	nitmee
FR14	nütmee
GL1	nüme
GL2	nüme
GL4	nüme
GL5	nüme
GL6	nüme
GL7	nüme
GL8	nüme
GL9	nüme
GL10	nüme
GL11	nüme
GR1	nüme
GR2	nüme
GR3	nüme
GR4	nüme
GR5	nüme
GR6	nüme
GR8	nüme
GR9	nüme
GR10	nüme
GR11	nüme
GR12	nüme
GR13	nüme
GR14	nüme
GR16	nimme
GR17	nüme
GR18	nüme
GR19	nüme
GR20	nüme
GR21	nüme
GR22	nüme
GR23	nüme
GR24	nüme
GR25	nimme
GR26	nimme
GR27	nüme
GR28	nüme
GR29	nüme
GR30	nüme
GR31	nüme
GR32	nimme
GR33	nüme
GR34	nimme
LU1	nüme
LU2	nüme
LU3	nüme
LU4	nüme
LU5	nüme
LU6	nüme
LU7	nüme
LU8	nüme
LU9	nüme
LU10	nüme
LU11	nüme
LU12	nüme
LU13	nüme
LU14	nüme
LU15	nüme
LU16	nüme
LU17	nüme
LU18	nüme
LU19	nüme
LU20	nüme
LU21	nüme
LU22	nüme
LU23	nüme
LU24	nüme
LU25	nüme
LU26	nüme
LU27	nüme
LU28	nüme
LU29	nüme
LU30	nüme
LU31	nüme
LU32	nüme
LU33	nüme
SG1	nüme
SG2	nüme
SG3	nüme
SG4	nüme
SG5	numme
SG6	numme
SG7	numme
SG8	numme
SG9	numme
SG10	numme
SG11	numme
SG12	numme
SG13	numme
SG14	nomme
SG15	nüme
SG16	numme
SG17	numme
SG18	numme
SG19	nüme
SG20	nüme
SG21	nüme
SG22	nüme
SG23	nüme
SG24	nüme
SG25	nüme
SG26	nüme
SG27	nüme
SG28	nüme
SG29	nüme
SG30	nüme
SG31	nüme
SG32	nüme
SG33	numme
SG34	nüme
SG35	nüme
SG36	nüme
SG37	nüme
SG39	nüme
SG40	nüme
SG41	nüme
SG42	numme
SG43	numme
SG44	nüme
SG45	nüme
SH2	nüme
SH3	nüme
SH4	numme
SH5	numme
SH6	numme
SH8	numme
SH9	numme
SH10	nüme
SH11	nüme
SO1	nimmi
SO2	nimmi
SO3	nimmi
SO4	nimme
SO5	nimme
SO7	nimmi
SO8	nimmi
SO9	nimmi
SO10	nüme
SO11	nümm
SO12	nüme
SO13	nüme
SO14	nümm
SO15	nüme
SO16	nüme
SO17	nüme
SO18	nüme
SO19	nümm
SO20	nüme
SO21	nüme
SO22	nüme
SO23	nüme
SO24	nüme
SO25	nüme
SO26	nüme
SO27	nüme
SO28	nüme
SO29	nüme
SO30	nüme
SO31	nümee
SZ1	nüme
SZ2	nüme
SZ3	nüme
SZ4	nüme
SZ5	nüme
SZ6	nüme
SZ7	nüme
SZ8	nüme
SZ9	nüme
SZ10	nüme
SZ11	nüme
SZ12	nüme
SZ13	nüme
SZ14	nüme
SZ15	nüme
SZ16	nüme
TG1	numme
TG2	nüme
TG3	nüme
TG4	nüme
TG5	nüme
TG6	nüme
TG7	nüme
TG8	nüme
TG9	nüme
TG10	nüme
TG11	nüme
TG12	nüme
TG13	nüme
TG14	nüme
TG16	nüme
TG17	nüme
TG18	nüme
TG19	nüme
TG21	nüme
TG22	nüme
TG23	nüme
TG24	nüme
TG25	nüme
TG26	numme
TI1	nimme
UR1	nimme
UR2	nimme
UR3	nüme
UR4	nimme
UR5	nimee
UR6	nimme
UR7	nimme
UR8	nimme
UR9	nimme
UR10	nimme
UR11	nimme
UW1	nimme
UW2	nimme
UW3	nimme
UW4	nimme
UW5	nimme
UW7	nimme
UW8	nimme
UW9	nimme
UW10	nimme
UW11	nimme
UW12	nüme
WS1	nimee
WS6	nimee
WS7	nimme
WS9	nimee
WS10	nimee
WS11	nimee
WS13	nimee
WS14	nimee
WS15	nimee
WS16	nimee
WS18	nimee
WS19	nimee
WS20	nitmee
WS21	nimee
WS22	nimee
WS23	nimee
WS24	nimee
WS26	nimee
WS28	nimme
WS29	nimme
WS32	nimme
WS33	nimme
WS34	nimme
ZG1	nüme
ZG2	nüme
ZG3	nüme
ZG4	nüme
ZG5	nüme
ZG6	nüme
ZG7	nüme
ZG8	nüme
ZH1	nüme
ZH2	nüme
ZH3	nüme
ZH4	nüme
ZH5	numme
ZH6	numme
ZH7	nüme
ZH8	numme
ZH9	nüme
ZH10	nüme
ZH11	nüme
ZH12	nüme
ZH13	nüme
ZH14	nüme
ZH15	nüme
ZH16	nüme
ZH17	nüme
ZH18	nüme
ZH19	nüme
ZH20	nüme
ZH21	nüme
ZH22	nüme
ZH24	nüme
ZH25	nüme
ZH26	nüme
ZH27	nüme
ZH28	nüme
ZH29	nüme
ZH30	nüme
ZH31	nüme
ZH32	nüme
ZH33	nüme
ZH34	nüme
ZH35	nüme
ZH36	nüme
ZH37	nüme
ZH38	nüme
ZH39	nüme
ZH40	nüme
ZH41	nüme
ZH42	nüme
ZH43	nüme
ZH44	nüme
ZH45	nüme
ZH46	nüme
ZH47	nüme
ZH48	nüme
ZH49	nüme
ZH50	nüme
ZH52	nüme
ZH53	nüme
ZH54	nüme
ZH55	nüme
ZH56	nüme
ZH57	nüme
ZH58	nüme
ZH59	nüme
ZH60	nüme
ZH61	nüme
ZH62	nüme
ZH63	nüme
ZH64	nüme
ZH65	nüme
ZH66	nüme
