DEPT	PEGUER
BRU	0
WBR	0
WHT	0
WLG	0.022222222
WLX	0
WNA	0
BE	0.027472527
FR	0.026627219
GE	0.061630219
JU	0.019354839
NE	0.04368932
VD	0.029232643
VS	0.016304348
01	0.272727273
02	0
03	0.25
04	1
05	0.916666667
06	0.795454545
07	0.826086957
08	0
09	1
10	0.166666667
11	1
12	1
13	0.954545455
14	0.162790698
15	0.777777778
16	0.136363636
17	0.166666667
18	0.090909091
19	0.4375
21	0.152173913
22	0.1
23	0.222222222
24	0.357142857
25	0.117647059
26	0.925
27	0.2
28	0.055555556
29	0.166666667
2A	1
2B	0.833333333
30	0.96875
31	0.926229508
32	1
33	0.3203125
34	0.982142857
35	0.174603175
36	0.461538462
37	0.037735849
38	0.434343434
39	0.147058824
40	0.296296296
41	0.19047619
42	0.28
43	0.583333333
44	0.1
45	0.209302326
46	0.692307692
47	0.52
48	1
49	0.075757576
50	0.09375
51	0.054054054
52	0.272727273
53	0
54	0.097222222
55	0.272727273
56	0.09375
57	0.14893617
58	0.071428571
59	0.100628931
60	0.184210526
61	0.333333333
62	0.161290323
63	0.448275862
64	0.38
65	0.8
66	0.8
67	0.083333333
68	0.064220183
69	0.371257485
70	0.133333333
71	0.234042553
72	0.034482759
73	0.333333333
74	0.265734266
75	0.230769231
76	0.176470588
77	0.141025641
78	0.20952381
79	0.176470588
80	0.2
81	0.970588235
82	0.866666667
83	1
84	1
85	0.111111111
86	0.125
87	0.4
88	0.121212121
89	0.235294118
90	0.230769231
91	0.246753247
92	0.255555556
93	0.186440678
94	0.189873418
95	0.145454545
