BFS_CODE	SDS_CODE	EN	ENE	ENER
100_1	ZH13	1	0	0
1002_1	LU29	1	0	0
1003_1	LU31	0.87	0.13	0
1004_1	LU33	1	0	0
1006_1	LU32	0.86	0	0.14
1008_1	LU30	1	0	0
1021_1	LU9	1	0	0
1026_1	LU20	1	0	0
1039_1	LU8	1	0	0
1058_1	LU26	1	0	0
1061_1	LU25	1	0	0
1062_1	LU24	1	0	0
1069_1	LU28	1	0	0
1086_1	LU14	1	0	0
1093_1	LU18	1	0	0
1098_1	LU15	1	0	0
1102_1	LU17	1	0	0
1103_1	LU6	1	0	0
1104_1	LU5	1	0	0
1107_1	LU23	1	0	0
111_1	ZH45	1	0	0
1125_1	LU3	1	0	0
1139_1	LU2	1	0	0
1149_1	LU13	1	0	0
115_1	ZH63	1	0	0
1150_1	LU12	0.86	0.14	0
12_1	ZH50	1	0	0
120_1	ZH66	1	0	0
1201_1	UR4	0.5	0.5	0
1202_1	UR11	0.29	0.71	0
1208_1	UR10	0.87	0.13	0
1209_1	UR8	0.67	0.33	0
1211_1	UR2	0.65	0.35	0
1216_1	UR7	0.62	0.38	0
1219_1	UR5	0.1	0.9	0
13_1	ZH36	1	0	0
1301_1	SZ7	1	0	0
1323_1	SZ1	0.86	0	0.14
1331_1	SZ9	1	0	0
134_1	ZH57	1	0	0
1343_1	SZ8	1	0	0
1344_1	SZ3	0.9	0.1	0
1347_1	SZ5	1	0	0
136_1	ZH53	1	0	0
1361_1	SZ14	1	0	0
1364_1	SZ12	1	0	0
1367_1	SZ15	0.87	0.13	0
1368_1	SZ16	1	0	0
1372_1	SZ13	1	0	0
1401_1	UW6	0.8	0.2	0
1402_1	UW12	0.62	0.38	0
1403_1	UW9	0.33	0.67	0
1404_1	UW11	0.4	0.6	0
1405_1	UW10	0.27	0.73	0
1407_1	UW7	0.6	0.4	0
141_1	ZH54	1	0	0
142_1	ZH56	1	0	0
1502_1	UW4	0.75	0.25	0
1509_1	UW2	0.6	0.4	0
1511_1	UW3	0.85	0.15	0
154_1	ZH58	1	0	0
156_1	ZH59	1	0	0
1605_1	GL11	1	0	0
1606_1	GL10	1	0	0
1609_1	GL5	0.93	0.07	0
1613_1	GL9	1	0	0
1614_2	GL7	1	0	0
1617_1	GL4	1	0	0
1619_1	GL3	1	0	0
1624_1	GL2	1	0	0
1627_1	GL6	0.96	0.04	0
1703_1	ZG1	1	0	0
1704_1	ZG8	1	0	0
1706_1	ZG7	1	0	0
1707_2	ZG2	1	0	0
171_1	ZH46	1	0	0
1710_1	ZG6	1	0	0
1711_1	ZG5	1	0	0
174_1	ZH30	1	0	0
177_1	ZH44	1	0	0
179_1	ZH47	1	0	0
192_1	ZH61	1	0	0
193_1	ZH39	1	0	0
195_1	ZH40	1	0	0
198_1	ZH42	1	0	0
198_2	ZH41	1	0	0
2138_1	FR14	0.25	0.75	0
217_1	ZH23	1	0	0
218_1	ZH10	1	0	0
2196_1	FR7	0.78	0.22	0
223_1	ZH18	1	0	0
2262_1	FR3	0.6	0.4	0
2275_1	FR1	1	0	0
228_1	ZH33	1	0	0
2293_1	FR4	0.62	0.38	0
2294_1	FR11	0.5	0.5	0
2296_1	FR10	0.62	0.38	0
2299_1	FR12	0.43	0.57	0
2299_2	FR13	0.11	0.89	0
230_1	ZH21	1	0	0
2306_1	FR8	0.29	0.71	0
2308_1	FR6	0.7	0.3	0
2421_1	SO17	1	0	0
2428_1	SO10	1	0	0
2429_1	SO15	1	0	0
2444_1	SO31	1	0	0
2461_1	SO29	1	0	0
2477_1	SO2	0.86	0	0.14
2499_1	SO13	1	0	0
250_1	ZH34	1	0	0
2511_1	SO28	1	0	0
2543_1	SO23	1	0	0
2582_1	SO11	1	0	0
261_1	ZH37	1	0	0
2615_1	SO7	1	0	0
2619_1	SO1	1	0	0
2621_1	SO9	1	0	0
2701_2	BA1	1	0	0
2702_1	BA2	1	0	0
2761_1	BA7	1	0	0
2768_1	BA5	1	0	0
2770_1	BA8	1	0	0
2774_1	BA3	1	0	0
2787_1	BE3	1	0	0
2788_1	BE2	1	0	0
2790_1	BE1	1	0	0
28_1	ZH4	1	0	0
2829_1	BA14	1	0	0
2831_1	BA9	1	0	0
2834_1	BA13	1	0	0
2843_1	BA18	1	0	0
2846_1	BA19	1	0	0
2853_1	BA12	1	0	0
2869_1	BA17	1	0	0
2886_1	BA16	1	0	0
2888_1	BA25	1	0	0
2901_1	SH4	1	0	0
2913_1	SH8	1	0	0
2933_1	SH11	1	0	0
2936_1	SH6	0.86	0	0.14
2939_1	SH7	1	0	0
2952_1	SH3	1	0	0
2963_1	SH9	1	0	0
2964_1	SH10	1	0	0
2971_1	SH1	1	0	0
2974_1	SH2	1	0	0
30_1	ZH7	1	0	0
3001_1	AP1	0.58	0	0.42
3006_1	AP3	0.11	0	0.89
3007_1	AP2	0.29	0	0.71
301_1	BE31	1	0	0
3021_1	AP4	0.3	0	0.7
3022_1	AP5	0.2	0	0.8
3025_1	AP6	0.13	0	0.87
3032_1	AP7	0	0	1
307_1	BE32	1	0	0
310_1	BE35	1	0	0
3101_1	AP11	0.2	0	0.8
3103_1	AP12	0.33	0	0.67
3104_1	AP10	0.4	0	0.6
3203_1	SG7	0.61	0	0.39
3214_1	SG8	0.22	0	0.78
3233_1	SG12	0.5	0	0.5
3234_1	SG15	0.25	0	0.75
3235_1	SG11	0.5	0	0.5
324_1	BE9	1	0	0
3251_1	SG14	0.17	0	0.83
3254_1	SG16	0.31	0	0.69
3273_1	SG33	0.9	0	0.1
3274_1	SG17	0.82	0	0.18
3275_1	SG42	1	0	0
3276_1	SG43	1	0	0
329_1	BE11	1	0	0
3292_1	SG39	1	0	0
3293_1	SG41	1	0	0
3293_2	SG40	1	0	0
3294_1	SG45	1	0	0
3294_3	SG46	1	0	0
3295_1	SG36	1	0	0
3298_1	SG38	1	0	0
3311_1	SG35	1	0	0
3312_1	SG29	1	0	0
3315_1	SG34	1	0	0
333_1	BE12	1	0	0
3332_1	SG22	1	0	0
3336_1	ZH64	1	0	0
3352_1	SG26	0	0	1
3356_1	SG31	0.2	0	0.8
3357_1	SG32	0.5	0	0.5
3371_1	SG20	0.71	0	0.29
3373_1	SG25	0.75	0	0.25
3377_1	SG24	0.83	0	0.17
3377_2	SG27	0.17	0	0.83
3392_1	SG1	0.43	0	0.57
3394_1	SG19	0.3	0	0.7
3401_1	SG21	0.6	0	0.4
3402_1	SG3	0.56	0	0.44
3425_1	SG2	0.5	0	0.5
344_1	BE25	1	0	0
3441_1	SG5	0.5	0	0.5
35_1	ZH6	1	0	0
3503_1	GR32	0.78	0.22	0
351_1	BE47	1	0	0
3523_1	GR34	1	0	0
3603_1	GR27	0.1	0.9	0
3612_1	GR25	0.71	0.29	0
362_1	BE48	0.87	0	0.13
3651_1	GR28	0.36	0.64	0
3668_1	GR31	1	0	0
3681_1	GR33	0.6	0.4	0
3692_1	GR30	0.67	0.33	0
3733_1	GR15	1	0	0
383_1	BE19	1	0	0
384_1	BE17	1	0	0
385_1	SO30	1	0	0
3851_1	GR24	0.67	0.33	0
3871_1	GR14	0.5	0.5	0
3882_1	GR12	1	0	0
3893_1	GR13	0.5	0.5	0
3901_1	GR17	1	0	0
3911_1	GR18	1	0	0
392_1	BE18	1	0	0
3921_1	GR22	0.72	0.14	0.14
3924_1	GR23	0.5	0.5	0
394_1	BE33	1	0	0
3945_1	GR6	1	0	0
3946_1	GR4	1	0	0
3951_1	GR1	1	0	0
3952_1	GR2	1	0	0
3954_1	GR3	1	0	0
3962_1	GR10	0.64	0.36	0
4001_1	AG34	1	0	0
4004_1	AG26	1	0	0
4009_1	AG35	1	0	0
4024_1	AG30	1	0	0
4035_1	AG31	1	0	0
4048_1	AG32	1	0	0
4063_1	AG43	1	0	0
4068_1	AG41	1	0	0
4095_1	AG29	1	0	0
4097_1	AG8	1	0	0
4104_1	AG28	1	0	0
4121_1	AG12	1	0	0
414_1	BE37	1	0	0
4145_1	AG37	1	0	0
4163_1	AG6	1	0	0
4169_1	AG7	1	0	0
4173_1	AG23	1	0	0
4192_1	AG40	1	0	0
42_1	ZH9	1	0	0
4201_1	AG38	1	0	0
4228_1	AG57	1	0	0
4234_1	AG59	1	0	0
424_1	BE24	1	0	0
4253_1	AG1	1	0	0
4254_1	AG2	1	0	0
4260_1	AG3	1	0	0
4262_1	AG4	1	0	0
4271_1	AG45	1	0	0
4275_1	AG51	1	0	0
4279_1	AG44	1	0	0
4289_1	AG47	1	0	0
4301_1	AG17	1	0	0
4308_1	AG21	1	0	0
4311_1	AG11	1	0	0
4319_1	AG20	1	0	0
4426_1	TG13	0.83	0	0.17
4431_1	TG26	0.57	0	0.43
4436_1	SG9	0.86	0	0.14
4461_1	TG25	0.75	0	0.25
4501_1	TG23	0.43	0	0.57
4511_1	TG24	0.89	0	0.11
4536_1	TG1	1	0	0
4566_2	TG15	1	0	0
4611_1	TG20	1	0	0
4643_1	TG12	1	0	0
4646_1	TG8	1	0	0
4726_1	TG19	0.62	0	0.38
4781_1	TG18	1	0	0
4816_1	TG6	1	0	0
4821_1	TG3	0.8	0.2	0
4826_1	TG4	1	0	0
4901_1	TG11	1	0	0
492_1	BE27	1	0	0
4946_1	TG9	1	0	0
496_1	BE28	1	0	0
5_1	ZH49	1	0	0
52_1	ZH28	1	0	0
53_1	ZH16	1	0	0
539_1	BE36	1	0	0
546_1	BE34	1	0	0
55_1	ZH2	1	0	0
552_1	BE22	1	0	0
561_1	BE104	0.3	0.7	0
563_1	BE102	0.33	0.67	0
565_1	BE106	0.88	0.12	0
567_1	BE107	0.64	0.36	0
567_2	BE101	0.29	0.71	0
573_1	BE83	0.32	0.68	0
576_1	BE112	0.2	0.8	0
579_1	BE80	0.2	0.8	0
581_1	BE79	0.6	0.4	0
582_1	BE82	0.64	0.36	0
584_1	BE110	0.4	0.6	0
584_2	BE111	0.14	0.86	0
584_3	BE109	0.33	0.67	0
585_1	BE78	0.67	0.33	0
6_1	ZH52	1	0	0
6002_1	WS23	0	1	0
6009_1	WS25	0	1	0
6054_1	WS30	0	1	0
6057_1	WS29	0	1	0
6066_1	WS34	0	1	0
6067_1	WS32	0	0.91	0.09
6101_1	WS3	0	1	0
6109_1	WS2	0	1	0
6113_1	WS1	0	1	0
6117_1	WS4	0	1	0
612_1	BE60	1	0	0
6171_1	WS27	0.2	0.8	0
6179_1	WS26	0	1	0
6191_1	WS11	0	1	0
6192_1	WS7	0	1	0
6193_1	WS10	0	1	0
6195_1	WS6	0	1	0
6200_1	WS9	0	1	0
621_1	BE59	1	0	0
623_1	BE50	0.87	0.13	0
627_1	BE49	1	0	0
6287_1	WS18	0	1	0
6291_1	WS21	0	1	0
6292_1	WS17	0	1	0
6297_1	WS12	0	1	0
6298_1	WS13	0	1	0
6300_1	WS20	0	1	0
663_1	BE46	1	0	0
667_1	BE54	1	0	0
67_1	ZH3	1	0	0
670_1	BE55	1	0	0
68_1	ZH17	1	0	0
740_1	BE13	1	0	0
751_1	BE30	1	0	0
752_1	BE14	1	0	0
762_1	BE98	0.62	0.38	0
