SDS_CODE	SDS_KT	SDS_NR	SDS_NAME	BFS_CODE	POINT_X	POINT_Y	LAT	LONG
AG1	AG	1	Magden	4253	628200	264100	47.527	7.813
AG2	AG	2	Möhlin	4254	630600	267500	47.558	7.845
AG3	AG	3	Obermumpf	4256	637600	264400	47.529	7.938
AG4	AG	4	Wegenstetten	4262	637300	260900	47.498	7.934
AG5	AG	5	Schupfart	4259	639700	262700	47.514	7.966
AG6	AG	6	Frick	4163	643900	262000	47.507	8.021
AG7	AG	7	Kaisten	4169	645600	265600	47.540	8.044
AG8	AG	8	Elfingen	4097	649800	262000	47.507	8.100
AG9	AG	9	Gansingen	4164	652400	266000	47.543	8.135
AG10	AG	10	Wil	4180	653700	268000	47.561	8.152
AG11	AG	11	Leibstadt	4311	655400	271200	47.589	8.175
AG12	AG	12	Villigen	4121	658500	264200	47.526	8.215
AG13	AG	13	Böttstein	4303	658800	267700	47.557	8.220
AG14	AG	14	Würenlingen	4047	661700	264800	47.531	8.258
AG15	AG	15	Grossdöttingen	4304	661700	269100	47.570	8.259
AG16	AG	16	Zurzach	4323	664500	271000	47.587	8.296
AG17	AG	17	Baldingen	4301	666000	267500	47.555	8.315
AG18	AG	18	Unterlengnau	4312	667100	263700	47.521	8.330
AG19	AG	19	Oberehrendingen	4049	668700	261600	47.502	8.350
AG20	AG	20	Siglistorf	4319	670900	266500	47.545	8.380
AG21	AG	21	Kaiserstuhl-Fisibach	4308	673700	269100	47.568	8.418
AG22	AG	22	Wittnau	4181	640400	258900	47.480	7.975
AG23	AG	23	Oberhof	4173	642800	255500	47.449	8.006
AG24	AG	24	Küttigen	4008	646000	251800	47.415	8.048
AG25	AG	25	Herznach	4166	646300	258100	47.472	8.053
AG26	AG	26	Densbüren	4004	646300	256100	47.454	8.053
AG27	AG	27	Thalheim	4117	650000	254200	47.437	8.101
AG28	AG	28	Lupfig	4104	657700	254800	47.441	8.204
AG29	AG	29	Brugg	4095	657900	259400	47.483	8.207
AG30	AG	30	Birmenstorf	4024	661000	257100	47.462	8.248
AG31	AG	31	Niederrohrdorf	4035	665400	252900	47.424	8.305
AG32	AG	32	Würenlos	4048	669800	255100	47.443	8.364
AG33	AG	33	Spreitenbach	4040	669900	252300	47.418	8.365
AG34	AG	34	Aarau	4001	645800	249000	47.390	8.045
AG35	AG	35	Muhen	4009	646500	243400	47.340	8.054
AG36	AG	36	Gränichen	4006	650000	245400	47.358	8.100
AG37	AG	37	Teufenthal	4145	651300	242200	47.329	8.117
AG38	AG	38	Lenzburg	4201	655500	249000	47.389	8.174
AG39	AG	39	Egliswil	4195	656600	244600	47.350	8.188
AG40	AG	40	Seengen	4208	658000	241800	47.325	8.206
AG41	AG	41	Hägglingen	4068	661600	248800	47.387	8.254
AG42	AG	42	Künten	4031	667300	249100	47.389	8.330
AG43	AG	43	Bremgarten-Widen-Zufikon	4063	668400	244800	47.351	8.344
AG44	AG	44	Riken	4279	631500	235300	47.268	7.855
AG45	AG	45	Aarburg	4271	634900	241100	47.320	7.900
AG46	AG	46	Brittnau	4274	638500	234300	47.258	7.947
AG47	AG	47	Zofingen	4289	638300	237700	47.289	7.945
AG48	AG	48	Safenwil	4283	641200	241300	47.321	7.984
AG49	AG	49	Reitnau	4281	645900	233400	47.250	8.045
AG50	AG	50	Schöftland	4144	646300	239500	47.305	8.051
AG51	AG	51	Kirchleerau	4275	647600	236300	47.276	8.068
AG52	AG	52	Schmiedrued	4143	650600	234900	47.263	8.107
AG53	AG	53	Zetzwil	4147	653800	237400	47.285	8.150
AG54	AG	54	Menziken	4139	656700	232700	47.243	8.188
AG55	AG	55	Birrwil	4132	657300	238000	47.290	8.196
AG56	AG	56	Fahrwangen	4196	660800	238500	47.295	8.242
AG57	AG	57	Boswil	4228	666100	239200	47.300	8.313
AG58	AG	58	Unterlunkhofen	4079	671300	241600	47.321	8.382
AG59	AG	59	Merenschwand	4234	670800	234800	47.260	8.374
AG60	AG	60	Auw	4223	670200	229300	47.211	8.365
AG61	AG	61	Dietwil	4231	672300	222300	47.148	8.392
AP1	AP	1	Herisau	3001	738700	250300	47.389	9.276
AP2	AP	2	Waldstatt	3007	739500	246700	47.356	9.285
AP3	AP	3	Urnäsch	3006	739600	242400	47.318	9.285
AP4	AP	4	Teufen	3024	747100	250700	47.391	9.387
AP5	AP	5	Gais	3022	752200	247700	47.363	9.454
AP6	AP	6	Trogen	3025	752900	252800	47.408	9.465
AP7	AP	7	Heiden	3032	757900	258000	47.454	9.533
AP8	AP	8	Walzenhausen	3037	762500	258700	47.459	9.594
AP9	AP	9	Oberegg	3111	759400	254600	47.423	9.551
AP10	AP	10	Haslen	3104	745700	248300	47.369	9.368
AP11	AP	11	Appenzell	3101	749000	244100	47.331	9.410
