PartId	Sex	Age	Country	Adieu
1	M	68	FR	0
2	M	26	FR	1
3	F	28	FR	0
4	F	52	CH	0
5	M	53	FR	9
6	F	35	CH	4
7	F	23	CH	10
8	F	55	CH	0
9	M	45	FR	0
10	M	66	FR	0
11	F	24	BE	0
12	F	40	BE	0
13	M	27	BE	0
14	F	47	BE	0
15	M	32	FR	0
16	F	23	BE	0
17	F	24	BE	0
18	F	56	BE	0
19	F	52	CH	0
20	M	32	BE	0
21	M	26	FR	0
22	F	29	BE	0
23	M	20	CH	1
24	F	34	FR	0
25	F	40	CH	9
26	F	30	FR	0
27	F	22	FR	0
28	M	32	FR	0
29	F	21	FR	0
30	F	28	FR	0
31	M	38	CH	1
32	M	26	FR	10
33	F	30	BE	0
34	M	28	FR	0
35	M	26	BE	0
36	F	22	FR	0
37	F	56	CH	10
38	F	34	FR	0
39	F	28	FR	0
40	F	28	FR	
41	F	34	BE	0
42	F	45	CH	0
43	M	37	LU	0
44	F	58	BE	0
45	F	21	CH	0
46	F	30	BE	0
47	M	31	BE	0
48	M	50	FR	0
49	M	70	FR	0
50	F	64	FR	5
51	F	47	CH	0
52	F	59	CH	1
53	M	28	BE	0
54	F	42	FR	0
55	M	32	CH	5
56	F	23	CH	6
57	F	59	CH	0
58	M	43	CH	0
59	F	31	CH	0
60	M	29	CH	0
61	F	34	CH	0
62	F	27	CH	5
63	M	19	BE	0
64	F	22	BE	0
65	F	43	BE	0
66	M	25	BE	0
67	M	20	BE	0
68	M	25	FR	0
69	F	25	FR	0
70	F	32	FR	0
71	M	22	FR	0
72	F	22	FR	0
73	F	51	FR	0
74	F	46	FR	1
75	F	18	FR	0
76	F	72	FR	0
77	F	64	FR	0
78	M	29	BE	0
79	F	17	CH	2
80	F	46	CH	0
81	F	41	FR	0
82	F	58	FR	0
83	F	20	CH	1
84	F	18	CH	3
85	M	41	CH	2
86	F	25	CH	10
87	F	38	CH	7
88	M	27	CH	6
89	F	35	BE	0
90	F	27	BE	0
91	F	26	FR	0
92	F	23	CH	6
93	F	27	CH	10
94	F	22	CH	2
95	M	27	CH	8
96	M	34	CH	6
97	F	22	CH	3
98	F	22	CH	
99	F	42	CH	10
100	F	35	CH	9
101	F	32	CH	6
102	M	37	CH	2
103	F	20	CH	0
104	M	29	CH	5
105	F	28	CH	10
106	F	35	CH	1
107	F	23	CH	7
